fte_id,available_start_week_iso,available_end_week_iso
fte_sofia_1,2025-W02,2025-W51
fte_sofia_1,2026-W02,2026-W32
fte_sofia_1,2026-W36,2026-W51
fte_sofia_1,2027-W02,2027-W32
fte_sofia_1,2027-W36,2027-W51
fte_sofia_1,2028-W02,2028-W32
fte_sofia_1,2028-W36,2028-W51
fte_sofia_1,2029-W01,2029-W52
fte_sofia_1,2030-W01,2030-W52
fte_sofia_1,2031-W01,2031-W52
fte_sofia_1,2032-W01,2032-W52
fte_sofia_2,2025-W02,2025-W51
fte_sofia_2,2026-W02,2026-W32
fte_sofia_2,2026-W36,2026-W51
fte_sofia_2,2027-W02,2027-W32
fte_sofia_2,2027-W36,2027-W51
fte_sofia_2,2028-W02,2028-W32
fte_sofia_2,2028-W36,2028-W51
fte_sofia_2,2029-W01,2029-W52
fte_sofia_2,2030-W01,2030-W52
fte_sofia_2,2031-W01,2031-W52
fte_sofia_2,2032-W01,2032-W52
fte_sofia_3,2025-W02,2025-W51
fte_sofia_3,2026-W02,2026-W32
fte_sofia_3,2026-W36,2026-W51
fte_sofia_3,2027-W02,2027-W32
fte_sofia_3,2027-W36,2027-W51
fte_sofia_3,2028-W02,2028-W32
fte_sofia_3,2028-W36,2028-W51
fte_sofia_3,2029-W01,2029-W52
fte_sofia_3,2030-W01,2030-W52
fte_sofia_3,2031-W01,2031-W52
fte_sofia_3,2032-W01,2032-W52
fte_sofia_4,2025-W02,2025-W51
fte_sofia_4,2026-W02,2026-W32
fte_sofia_4,2026-W36,2026-W51
fte_sofia_4,2027-W02,2027-W32
fte_sofia_4,2027-W36,2027-W51
fte_sofia_4,2028-W02,2028-W32
fte_sofia_4,2028-W36,2028-W51
fte_sofia_4,2029-W01,2029-W52
fte_sofia_4,2030-W01,2030-W52
fte_sofia_4,2031-W01,2031-W52
fte_sofia_4,2032-W01,2032-W52
fte_hengelo_1,2025-W02,2025-W51
fte_hengelo_1,2026-W02,2026-W32
fte_hengelo_1,2026-W36,2026-W51
fte_hengelo_1,2027-W02,2027-W32
fte_hengelo_1,2027-W36,2027-W51
fte_hengelo_1,2028-W02,2028-W32
fte_hengelo_1,2028-W36,2028-W51
fte_hengelo_1,2029-W01,2029-W52
fte_hengelo_1,2030-W01,2030-W52
fte_hengelo_1,2031-W01,2031-W52
fte_hengelo_1,2032-W01,2032-W52
fte_hengelo_2,2025-W02,2025-W51
fte_hengelo_2,2026-W02,2026-W32
fte_hengelo_2,2026-W36,2026-W51
fte_hengelo_2,2027-W02,2027-W32
fte_hengelo_2,2027-W36,2027-W51
fte_hengelo_2,2028-W02,2028-W32
fte_hengelo_2,2028-W36,2028-W51
fte_hengelo_2,2029-W01,2029-W52
fte_hengelo_2,2030-W01,2030-W52
fte_hengelo_2,2031-W01,2031-W52
fte_hengelo_2,2032-W01,2032-W52
fte_hengelo_3,2025-W02,2025-W51
fte_hengelo_3,2026-W02,2026-W32
fte_hengelo_3,2026-W36,2026-W51
fte_hengelo_3,2027-W02,2027-W32
fte_hengelo_3,2027-W36,2027-W51
fte_hengelo_3,2028-W02,2028-W32
fte_hengelo_3,2028-W36,2028-W51
fte_hengelo_3,2029-W01,2029-W52
fte_hengelo_3,2030-W01,2030-W52
fte_hengelo_3,2031-W01,2031-W52
fte_hengelo_3,2032-W01,2032-W52
fte_hengelo_4,2025-W02,2025-W51
fte_hengelo_4,2026-W02,2026-W32
fte_hengelo_4,2026-W36,2026-W51
fte_hengelo_4,2027-W02,2027-W32
fte_hengelo_4,2027-W36,2027-W51
fte_hengelo_4,2028-W02,2028-W32
fte_hengelo_4,2028-W36,2028-W51
fte_hengelo_4,2029-W01,2029-W52
fte_hengelo_4,2030-W01,2030-W52
fte_hengelo_4,2031-W01,2031-W52
fte_hengelo_4,2032-W01,2032-W52
