fte_id,available_start_week_iso,available_end_week_iso
fte_hengelo_1,2025-W01,2025-W36
fte_hengelo_1,2025-W38,2025-W40
fte_hengelo_1,2025-W42,2025-W51
fte_hengelo_1,2026-W01,2026-W31
fte_hengelo_1,2026-W33,2027-W02
fte_hengelo_1,2027-W04,2027-W14
fte_hengelo_1,2027-W16,2027-W31
fte_hengelo_1,2027-W33,2027-W37
fte_hengelo_1,2027-W39,2027-W43
fte_hengelo_1,2027-W45,2028-W24
fte_hengelo_1,2028-W26,2028-W29
fte_hengelo_1,2028-W31,2028-W32
fte_hengelo_1,2028-W34,2028-W37
fte_hengelo_1,2028-W39,2029-W23
fte_hengelo_1,2029-W25,2031-W12
fte_hengelo_1,2031-W14,2031-W18
fte_hengelo_1,2031-W20,2031-W30
fte_hengelo_1,2031-W32,2031-W36
fte_hengelo_1,2031-W38,2031-W46
fte_hengelo_1,2031-W48,2032-W53
fte_hengelo_2,2025-W01,2025-W28
fte_hengelo_2,2025-W30,2026-W31
fte_hengelo_2,2026-W33,2026-W35
fte_hengelo_2,2026-W37,2027-W07
fte_hengelo_2,2027-W09,2027-W20
fte_hengelo_2,2027-W22,2027-W33
fte_hengelo_2,2027-W35,2028-W09
fte_hengelo_2,2028-W11,2028-W37
fte_hengelo_2,2028-W39,2029-W27
fte_hengelo_2,2029-W29,2030-W12
fte_hengelo_2,2030-W14,2030-W24
fte_hengelo_2,2030-W26,2030-W50
fte_hengelo_2,2030-W52,2031-W12
fte_hengelo_2,2031-W14,2031-W14
fte_hengelo_2,2031-W16,2031-W37
fte_hengelo_2,2031-W39,2031-W39
fte_hengelo_2,2031-W41,2032-W08
fte_hengelo_2,2032-W10,2032-W28
fte_hengelo_2,2032-W30,2032-W32
fte_hengelo_2,2032-W34,2032-W53
fte_sofia_1,2025-W01,2025-W12
fte_sofia_1,2025-W14,2025-W15
fte_sofia_1,2025-W18,2025-W44
fte_sofia_1,2025-W46,2025-W47
fte_sofia_1,2025-W49,2025-W52
fte_sofia_1,2026-W02,2026-W05
fte_sofia_1,2026-W07,2026-W19
fte_sofia_1,2026-W21,2027-W06
fte_sofia_1,2027-W08,2027-W09
fte_sofia_1,2027-W11,2027-W20
fte_sofia_1,2027-W22,2027-W35
fte_sofia_1,2027-W37,2029-W07
fte_sofia_1,2029-W09,2030-W18
fte_sofia_1,2030-W20,2030-W41
fte_sofia_1,2030-W43,2031-W14
fte_sofia_1,2031-W16,2031-W33
fte_sofia_1,2031-W35,2032-W12
fte_sofia_1,2032-W14,2032-W14
fte_sofia_1,2032-W16,2032-W53
fte_sofia_2,2025-W01,2025-W03
fte_sofia_2,2025-W05,2025-W13
fte_sofia_2,2025-W15,2026-W49
fte_sofia_2,2026-W51,2027-W07
fte_sofia_2,2027-W09,2027-W14
fte_sofia_2,2027-W16,2027-W37
fte_sofia_2,2027-W39,2029-W05
fte_sofia_2,2029-W07,2029-W20
fte_sofia_2,2029-W22,2029-W49
fte_sofia_2,2029-W51,2030-W18
fte_sofia_2,2030-W20,2030-W26
