fte_id,available_start_week_iso,available_end_week_iso
fte_hengelo_1,2025-W01,2025-W36
fte_hengelo_1,2025-W38,2025-W40
fte_hengelo_1,2025-W42,2025-W51
fte_hengelo_1,2026-W01,2026-W31
fte_hengelo_1,2026-W33,2027-W02
fte_hengelo_1,2027-W04,2027-W14
fte_hengelo_1,2027-W16,2027-W31
fte_hengelo_1,2027-W33,2027-W37
fte_hengelo_1,2027-W39,2027-W43
fte_hengelo_1,2027-W45,2028-W24
fte_hengelo_1,2028-W26,2028-W29
fte_hengelo_1,2028-W31,2028-W32
fte_hengelo_1,2028-W34,2028-W37
fte_hengelo_1,2028-W39,2029-W23
fte_hengelo_1,2029-W25,2031-W12
fte_hengelo_1,2031-W14,2031-W18
fte_hengelo_1,2031-W20,2031-W30
fte_hengelo_1,2031-W32,2031-W36
fte_hengelo_1,2031-W38,2031-W46
fte_hengelo_1,2031-W48,2032-W53
fte_hengelo_2,2025-W01,2025-W28
fte_hengelo_2,2025-W30,2026-W31
fte_hengelo_2,2026-W33,2026-W35
fte_hengelo_2,2026-W37,2027-W07
fte_hengelo_2,2027-W09,2027-W20
fte_hengelo_2,2027-W22,2027-W33
fte_hengelo_2,2027-W35,2028-W09
fte_hengelo_2,2028-W11,2028-W37
fte_hengelo_2,2028-W39,2029-W27
fte_hengelo_2,2029-W29,2030-W12
fte_hengelo_2,2030-W14,2030-W24
fte_hengelo_2,2030-W26,2030-W50
fte_hengelo_2,2030-W52,2031-W12
fte_hengelo_2,2031-W14,2031-W14
fte_hengelo_2,2031-W16,2031-W37
fte_hengelo_2,2031-W39,2031-W39
fte_hengelo_2,2031-W41,2032-W08
fte_hengelo_2,2032-W10,2032-W28
fte_hengelo_2,2032-W30,2032-W32
fte_hengelo_2,2032-W34,2032-W53
fte_hengelo_3,2025-W01,2025-W16
fte_hengelo_3,2025-W18,2025-W33
fte_hengelo_3,2025-W35,2026-W19
fte_hengelo_3,2026-W21,2026-W21
fte_hengelo_3,2026-W23,2027-W03
fte_hengelo_3,2027-W05,2027-W12
fte_hengelo_3,2027-W14,2027-W21
fte_hengelo_3,2027-W23,2027-W30
fte_hengelo_3,2027-W32,2027-W32
fte_hengelo_3,2027-W34,2028-W04
fte_hengelo_3,2028-W06,2028-W45
fte_hengelo_3,2028-W47,2028-W48
fte_hengelo_3,2028-W50,2029-W25
fte_hengelo_3,2029-W27,2029-W46
fte_hengelo_3,2029-W48,2030-W29
fte_hengelo_3,2030-W31,2031-W16
fte_hengelo_3,2031-W18,2031-W22
fte_hengelo_3,2031-W24,2032-W02
fte_hengelo_3,2032-W04,2032-W47
fte_hengelo_3,2032-W49,2032-W53
fte_hengelo_4,2025-W01,2025-W24
fte_hengelo_4,2025-W26,2025-W46
fte_hengelo_4,2025-W48,2026-W04
fte_hengelo_4,2026-W06,2026-W18
fte_hengelo_4,2026-W20,2026-W26
fte_hengelo_4,2026-W28,2027-W07
fte_hengelo_4,2027-W09,2027-W29
fte_hengelo_4,2027-W31,2028-W28
fte_hengelo_4,2028-W30,2028-W47
